Designator,Mid X,Mid Y,Rotation,Layer
R117,153.6446,-84.6308,90.0,top
R118,154.559,-127.4598,90.0,top
R119,154.559,-130.681,90.0,top
R12,94.7166,-73.281,90.0,top
R120,154.559,-133.6822,90.0,top
R121,154.559,-145.1082,90.0,top
R122,154.559,-148.082,90.0,top
R123,155.4226,-117.0864,90.0,top
R124,155.9306,-50.4698,90.0,top
R125,157.353,-117.0904,90.0,top
R126,157.6994,-135.95,270.0,top
R127,158.13,-74.77,180.0,top
R128,158.1292,-75.7558,180.0,top
R129,158.27,-121.46,0.0,top
R13,94.7166,-75.182,90.0,top
R130,158.268,-122.4506,0.0,top
R131,158.268,-123.4158,0.0,top
R132,158.268,-124.4064,0.0,top
R133,158.69,-135.95,270.0,top
R14,94.7166,-83.9724,90.0,top
R15,94.7166,-85.8754,90.0,top
R16,94.7674,-94.6912,90.0,top
R17,94.7654,-96.5962,90.0,top
R18,95.5274,-48.26,0.0,top
R19,96.1226,-60.2234,0.0,top
R2,85.6508,-120.8786,0.0,top
R20,96.1226,-61.214,180.0,top
R21,96.1644,-71.9328,180.0,top
R22,96.1644,-81.6102,0.0,top
R23,96.1644,-82.6008,180.0,top
R24,96.1664,-70.9422,0.0,top
R25,96.1918,-92.2528,0.0,top
R26,96.1898,-93.2434,180.0,top
R27,98.9691,-48.26,0.0,top
R28,102.4108,-48.26,0.0,top
R29,103.86,-129.7126,0.0,top
R3,86.47,-145.82,180.0,top
R30,101.81,-148.1725,0.0,top
R31,105.9112,-129.7126,0.0,top
R32,106.72,-137.56,90.0,top
R33,106.9,-48.28,180.0,top
R34,105.3,-148.1725,0.0,top
R35,110.27,-48.28,180.0,top
R36,110.6102,-125.9026,90.0,top
R37,111.0654,-123.4134,180.0,top
R38,111.0654,-124.4294,180.0,top
R39,108.79,-148.1725,0.0,top
R4,88.37,-145.82,180.0,top
R41,113.65,-48.27,180.0,top
R42,112.28,-148.1725,0.0,top
R43,114.8842,-55.8321,0.0,top
R44,116.5818,-133.0654,180.0,top
R45,117.8238,-113.9606,270.0,top
R46,118.14,-148.1725,0.0,top
R47,118.805933,-113.9626,270.0,top
R48,119.788067,-113.9626,270.0,top
R49,120.7702,-113.9626,270.0,top
R5,88.644,-48.26,0.0,top
R50,121.285,-85.13,0.0,top
R51,121.63,-148.1725,0.0,top
R52,122.45,-132.5854,270.0,top
R53,123.5202,-80.647,270.0,top
R54,125.43,-141.33,90.0,top
R55,127.3536,-50.9299,0.0,top
R56,127.3536,-51.9205,0.0,top
R57,129.3622,-82.9056,0.0,top
R58,129.3622,-83.8796,0.0,top
R59,131.5378,-122.7022,0.0,top
R6,88.7964,-51.689,0.0,top
R60,131.5378,-123.69595,0.0,top
R61,131.5378,-124.6897,0.0,top
R62,131.5466,-125.6792,0.0,top
R63,131.5466,-126.67295,0.0,top
R64,131.5466,-127.6667,0.0,top
R65,131.953,-83.4136,90.0,top
R66,132.334,-105.4354,0.0,top
R67,132.927,-83.4136,90.0,top
R68,133.7818,-55.88,0.0,top
R69,136.3628,-126.1566,0.0,top
