"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
79;"L6,L4";"ASPI-4030S";2;"4.7uH/3A(20%)";;;
80;"R69";"R_0402_1005Metric";1;"130K(1%)";;;
81;"U10";"Vishay_PowerPAK_MLP44-24L";1;"SIC437A";;;
82;"Q1";"SOT-23";1;"MMBT3904";;;
83;"TP2";"TestPoint_Pad_D1.0mm";1;"VRAW";;;
84;"D13";"D_0805_2012Metric";1;"GR_24V_SW_PGOOD";;;
85;"F5,F2";"Fuseholder_Blade_Mini_Keystone_3568";2;"MINI297/10A";;;
86;"FB2";"L_0603_1608Metric";1;"120R/3A";;;
87;"J1";"AMASS_XT30PW-M_1x02_P2.50mm_Horizontal";1;"VRAW";;;
88;"R24";"R_0805_2012Metric";1;"53.6k/0.125W(1%)";;;
89;"FB1";"L_1206_3216Metric";1;"50R/12A";;;
90;"R76";"R_0402_1005Metric";1;"68K(1%)";;;
91;"TP7";"TestPoint_Pad_D1.0mm";1;"12V_SW";;;
92;"J8";"Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal";1;"B2B_PWR";;;
93;"D16";"D_0805_2012Metric";1;"RED_SW_FAULT";;;
94;"R10";"R_0805_2012Metric";1;"100k(10%)";;;
95;"J2";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"12V_FAN";;;
96;"U12";"WQFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm";1;"TLA2528IRTER";;;
97;"R8";"R_0805_2012Metric";1;"470k(1%)";;;
98;"TH1,TH2";"R_0402_1005Metric";2;"NTC/10K";;;
99;"R31";"R_0402_1005Metric";1;"2.4k(1%)";;;
100;"D10";"D_SMC";1;"SMCJ15A";;;
101;"Q4";"TO-263-3_TabPin2";1;"IPB042N10N3G";;;
102;"D9";"D_SMB";1;"SMBJ26A";;;
103;"J6";"Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal";1;"24V_SW";;;
104;"R65";"R_0402_1005Metric";1;"4.3k(1%)";;;
105;"R38";"R_0603_1608Metric";1;"10k/0.125W(1%)";;;
106;"J11";"Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal";1;"B2B_SIG";;;
107;"R14";"R_0805_2012Metric";1;"1k(1%)";;;
108;"R34";"R_0402_1005Metric";1;"255R(1%)";;;
109;"L3";"PA2247.223NLT";1;"22uH/18A(20%)";;;
110;"R45,R48";"R_2512_6332Metric";2;"5m/2W(1%)";;;
111;"TP1";"TestPoint_Pad_D1.0mm";1;"I_VRAW_SW";;;
112;"L2";"PA2729283NL";1;"28uH/9A(15%)";;;
113;"U9";"SOT-23-3";1;"2.5V";;;
114;"D12";"D_0805_2012Metric";1;"GR_12V_PGOOD";;;
115;"D2";"D_SMB";1;"VSSB410S";;;
116;"R29";"R_0402_1005Metric";1;"205R(1%)";;;
117;"J12";"TBP02R138102BE";1;"5V_SW";;;
118;"TP5";"TestPoint_Pad_D1.0mm";1;"24V_SW";;;
119;"R4";"R_0402_1005Metric";1;"33k(1%)";;;
120;"D8";"D_SMA";1;"SS1150-LTP";;;
121;"TP9";"TestPoint_Pad_D1.0mm";1;"SDA";;;
122;"R20";"R_0402_1005Metric";1;"100R(10%)";;;
123;"D14";"D_0805_2012Metric";1;"GR_12V_SW_PGOOD";;;
