Designator,Mid X,Mid Y,Rotation,Layer
R3,177.12,-145.8,90.0,top
R30,165.92,-108.7,0.0,top
R31,165.85,-107.24,0.0,top
R32,159.3393,-110.169998,0.0,top
R33,197.975,-112.32,0.0,top
R34,154.5893,-108.614998,90.0,top
R35,155.8193,-107.259998,90.0,top
R36,169.9293,-106.38,270.0,top
R37,168.1993,-106.19,90.0,top
R38,153.3493,-107.294998,90.0,top
R39,228.47,-101.97,0.0,top
R4,176.14,-145.8,270.0,top
R41,225.67,-95.17,90.0,top
R42,226.65,-95.17,90.0,top
R43,138.2225,-89.81,90.0,top
R44,140.1625,-89.81,90.0,top
R45,139.3525,-86.53,180.0,top
R46,201.41,-80.96,0.0,top
R47,199.5,-80.4,0.0,top
R48,141.62,-73.895,180.0,top
R49,142.99,-70.96,270.0,top
R5,182.18,-147.08,270.0,top
R50,144.9,-70.96,270.0,top
R51,205.48,-63.75,0.0,top
R54,208.31,-62.26,270.0,top
R56,194.33,-62.55,90.0,top
R57,195.31,-62.55,90.0,top
R58,195.31,-60.66,270.0,top
R59,199.58,-61.02,270.0,top
R6,185.92,-145.61,180.0,top
R60,190.1,-57.78,270.0,top
R61,191.08,-57.78,270.0,top
R62,198.91,-57.365,0.0,top
R63,198.91,-56.405,0.0,top
R64,198.91,-55.445,0.0,top
R65,175.1,-55.345,0.0,top
R66,198.91,-54.475,0.0,top
R67,173.91,-54.375,180.0,top
R68,200.8,-53.495,0.0,top
R69,198.91,-53.495,180.0,top
R7,179.35,-145.8,270.0,top
R70,130.61,-52.71,270.0,top
R71,198.91,-52.515,180.0,top
R72,170.19,-53.385,90.0,top
R73,171.17,-53.385,270.0,top
R74,172.14,-53.385,270.0,top
R75,200.81,-51.535,0.0,top
R76,198.92,-51.535,180.0,top
R77,209.91,-51.225,0.0,top
R78,198.92,-50.565,180.0,top
R79,209.91,-50.245,0.0,top
R8,174.5,-146.22,90.0,top
R80,131.19,-50.83,270.0,top
R81,200.8,-49.595,180.0,top
R82,209.91,-49.265,0.0,top
R83,208.02,-48.285,180.0,top
R84,182.9,-49.68,0.0,top
R85,209.91,-48.285,0.0,top
R86,211.8,-48.285,0.0,top
R87,179.71,-48.26,180.0,top
R88,182.9,-48.26,0.0,top
R89,178.25,-45.8925,0.0,top
R9,185.65,-144.15,90.0,top
R90,190.03,-45.88,0.0,top
R91,171.13,-45.88,180.0,top
R92,164.02,-45.88,180.0,top
R93,157.802752,-45.88,180.0,top
TH1,166.77,-113.28,0.0,top
TH2,178.01,-53.73,270.0,top
U1,178.02,-140.93,0.0,top
U10,171.515,-57.445,0.0,top
U11,203.95,-61.4825,90.0,top
U12,207.21,-52.84,0.0,top
U13,132.1775,-53.01,90.0,top
U14,181.3,-48.81,180.0,top
U2,183.55,-137.03,180.0,top
U3,200.104999,-119.6089,90.0,top
U4,160.3429,-105.304999,180.0,top
U5,139.2,-92.39,270.0,top
U6,201.665,-79.3925,180.0,top
U7,197.01,-68.1125,0.0,top
U8,143.93,-68.37,90.0,top
U9,191.77,-61.54,0.0,top
